Machine ID,Machine Type,Date,Shift,Temperature (°C),Vibration Level (mm/s),Energy Usage (kWh),Production Output (units),Downtime (minutes),Error Codes
M018,Printing Machine,27-10-2024,Night,87.7,12.7,43.2,72,53,E03
M011,Dyeing Machine,04-09-2024,Night,79.6,17.4,34.8,144,0,None
M030,Spinning Machine,15-10-2024,Night,73.8,23.2,35.4,47,49,E02
M037,Dyeing Machine,20-10-2024,Evening,80.2,15.3,36.3,166,36,E02
M002,Printing Machine,24-10-2024,Morning,60.6,19.2,42.2,157,39,None
M042,Spinning Machine,30-10-2024,Evening,76.8,23,36.4,16,17,E03
M036,Weaving Machine,12-09-2024,Evening,85.1,23.1,57.5,178,22,E01
M046,Printing Machine,21-10-2024,Morning,61.9,14.7,32.9,7,46,E02
M016,Weaving Machine,06-10-2024,Evening,72,13.2,48.9,195,36,E02
M003,Spinning Machine,10-09-2024,Morning,60.6,12,43.6,122,45,E03
M023,Spinning Machine,12-10-2024,Morning,75.5,21.8,33,96,1,E03
M016,Printing Machine,27-10-2024,Night,74.6,14.4,40,127,9,E01
M005,Spinning Machine,23-09-2024,Morning,74.3,14,50.6,168,2,E02
M023,Dyeing Machine,13-10-2024,Night,74.7,12.3,35.6,142,21,E03
M031,Weaving Machine,03-09-2024,Night,81.3,12.8,55.3,142,55,E02
M018,Weaving Machine,18-09-2024,Evening,75.7,15.7,53.1,56,50,E02
M015,Printing Machine,07-10-2024,Morning,83.7,16.1,57.9,123,55,E01
M017,Dyeing Machine,06-09-2024,Night,84.3,23.8,58.5,198,27,None
M037,Dyeing Machine,17-09-2024,Morning,80.1,22.5,35.1,128,44,E03
M008,Printing Machine,26-10-2024,Morning,78.1,15.8,52.7,141,34,E01
M002,Spinning Machine,04-09-2024,Night,73.8,18.8,37.7,145,47,E02
M001,Printing Machine,23-10-2024,Evening,62,14.6,31.7,146,24,None
M003,Spinning Machine,10-09-2024,Evening,73.3,20.2,35.9,133,17,E02
M018,Dyeing Machine,25-10-2024,Evening,77.4,24.6,44.5,19,3,None
M041,Spinning Machine,22-09-2024,Morning,86.4,17.9,44.4,93,46,E02
M006,Spinning Machine,07-10-2024,Morning,78.3,23.3,53.6,64,10,E03
M013,Spinning Machine,29-09-2024,Morning,68.6,15.3,33,9,2,E03
M042,Printing Machine,16-10-2024,Night,61.4,21.1,55.9,85,14,E02
M049,Dyeing Machine,03-10-2024,Morning,89.9,11.9,55.9,41,56,E02
M046,Spinning Machine,14-10-2024,Evening,74.6,13.9,53.1,85,5,None
M013,Spinning Machine,16-10-2024,Morning,71.8,13.8,35.8,93,2,None
M032,Printing Machine,17-09-2024,Morning,80.6,22.4,54.6,80,41,E03
M044,Printing Machine,05-09-2024,Night,86.2,23.1,33,0,30,E02
M046,Dyeing Machine,29-09-2024,Night,72.4,14.7,40.3,48,51,E02
M021,Dyeing Machine,16-09-2024,Night,72.3,10.8,48.6,34,34,E02
M018,Dyeing Machine,22-10-2024,Night,71.5,16.8,55,78,26,E03
M029,Printing Machine,23-10-2024,Night,65.3,19.4,47.9,109,26,None
M017,Dyeing Machine,12-09-2024,Morning,61.2,16.3,30.9,143,19,E02
M049,Spinning Machine,31-10-2024,Night,61.8,21.4,43.8,46,32,None
M032,Weaving Machine,21-10-2024,Morning,65.8,10.5,41.3,48,26,E03
M013,Dyeing Machine,13-10-2024,Morning,60.1,17.3,53.3,77,22,E03
M044,Printing Machine,08-09-2024,Morning,82.7,12.5,36.8,163,25,E01
M023,Dyeing Machine,08-09-2024,Night,69.1,10.2,50.5,180,49,None
M020,Spinning Machine,24-09-2024,Night,73.1,22.6,47.3,11,53,E03
M043,Dyeing Machine,22-09-2024,Night,88.5,11.3,42,178,0,None
M045,Dyeing Machine,16-09-2024,Night,80,18.5,51.4,4,41,None
M033,Printing Machine,15-10-2024,Evening,76.7,10.4,43.3,107,41,None
M017,Spinning Machine,25-10-2024,Morning,73.2,21.3,37.8,107,16,E01
M041,Weaving Machine,21-10-2024,Morning,64,10.9,59.7,153,48,E02
M038,Spinning Machine,13-10-2024,Evening,73.1,24.4,57.1,33,7,None
M010,Spinning Machine,16-10-2024,Morning,79.4,22.6,32.8,93,31,E01
M023,Weaving Machine,30-09-2024,Morning,69.5,18.7,44.1,150,21,E02
M048,Spinning Machine,30-09-2024,Night,70.2,16,33.7,18,16,None
M046,Dyeing Machine,14-09-2024,Night,88.5,22,47.7,106,56,E02
M018,Spinning Machine,01-10-2024,Morning,69,17.9,49.7,167,56,E02
M009,Weaving Machine,01-09-2024,Morning,65,19.9,55,137,0,None
M022,Spinning Machine,26-09-2024,Morning,88.1,20.2,40.7,142,35,None
M032,Dyeing Machine,20-10-2024,Night,62.6,11.5,56.1,178,9,E01
M015,Dyeing Machine,04-09-2024,Evening,76.6,23.3,42.3,93,7,E03
M006,Printing Machine,16-10-2024,Morning,83.9,16.9,32.4,116,15,None
M046,Dyeing Machine,22-10-2024,Evening,87.8,20.5,32.6,82,30,E03
M032,Spinning Machine,16-09-2024,Morning,67.4,14.8,57.4,0,20,None
M041,Printing Machine,26-10-2024,Morning,63.8,20.8,39.3,108,39,None
M008,Printing Machine,11-09-2024,Night,88,23.4,35,77,20,E02
M006,Printing Machine,06-10-2024,Morning,70.6,23.6,36,172,13,E01
M042,Dyeing Machine,02-10-2024,Morning,72.6,13.1,43.3,151,1,E01
M036,Printing Machine,08-10-2024,Night,78.3,21.8,40.1,80,35,E02
M023,Weaving Machine,02-10-2024,Night,70.8,12.8,36.6,89,49,E03
M025,Weaving Machine,01-09-2024,Evening,69.3,22.5,42.2,71,38,E02
M004,Printing Machine,02-10-2024,Morning,73.4,24.1,41.9,100,9,E01
M020,Weaving Machine,24-10-2024,Night,69.7,13.4,51.9,117,8,None
M046,Spinning Machine,04-09-2024,Night,61.4,23.2,35.5,133,8,E01
M023,Spinning Machine,15-10-2024,Evening,73.8,16.8,45.3,190,10,None
M027,Weaving Machine,22-10-2024,Evening,62.2,14,55.2,184,49,None
M019,Printing Machine,13-10-2024,Evening,77.4,17.9,51,142,7,E01
M014,Dyeing Machine,21-09-2024,Morning,77.3,22.6,51.3,145,19,E01
M039,Dyeing Machine,14-10-2024,Evening,79.6,17.9,39.5,22,45,E02
M015,Spinning Machine,12-10-2024,Night,65.7,23.7,37.5,124,45,E03
M049,Printing Machine,25-09-2024,Evening,80.7,24.5,40.6,187,3,None
M006,Weaving Machine,29-10-2024,Morning,84.2,16.5,40.4,180,12,E02
M015,Weaving Machine,24-10-2024,Evening,71.8,15.3,31.6,120,36,E03
M015,Printing Machine,23-10-2024,Evening,75.2,16.5,54.6,83,43,E02
M026,Dyeing Machine,16-09-2024,Morning,69.3,23.7,42.8,90,57,E03
M001,Dyeing Machine,22-09-2024,Evening,72.3,12,30.7,84,36,E01
M023,Spinning Machine,19-09-2024,Night,61.2,16,35.6,27,12,E02
M022,Dyeing Machine,07-09-2024,Night,67.5,22,59.8,149,51,E02
